idx,sec,nanosec,t,x,y,z,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz
0,1786799102,909948385,1786799102.909948,-11.600694835109797,-2.0000119971141723,0.08588785870843454,0.0,0.0,0.0,1.0,-0.0007377453800363915,8.460022137077331e-06,0.0,0.0,0.0,0.0
1,1786799102,943284352,1786799102.943284,-11.600565286231042,-2.000108597267785,0.08506335972931747,0.0,0.0,0.0,1.0,-0.0005579209080306341,8.525560533729478e-06,0.0,0.0,0.0,0.0
2,1786799103,43282041,1786799103.043282,-11.60043034862502,-2.0001064196826355,0.0804050434113193,0.0,0.0,0.0,1.0,-0.00038924654213619097,2.0107947512349223e-05,0.0,0.0,0.0,0.0
3,1786799103,109924284,1786799103.109924,-11.600350709721496,-2.0000427616029617,0.08315007533889267,0.0,0.0,0.0,1.0,-0.0002744465837736066,1.9349698011686788e-05,0.0,0.0,0.0,0.0
4,1786799103,510028745,1786799103.510029,-11.60053928793184,-2.000133437765688,0.08284472182226146,0.0,0.0,0.0,1.0,-0.0002086211161261888,6.14397061990086e-06,0.0,0.0,0.0,0.0
5,1786799103,543296418,1786799103.543296,-11.600103130803937,-2.000165167577615,0.08232548098993632,0.0,0.0,0.0,1.0,3.1527771990940146e-05,-5.456700275838431e-05,0.0,0.0,0.0,0.0
6,1786799103,843312719,1786799103.843313,-11.599602999342094,-1.9957171985114754,0.0817647164739413,0.0,0.0,0.0,1.0,0.00029977184873742745,0.0007536101452215696,0.0,0.0,0.0,0.0
7,1786799103,876686610,1786799103.876687,-11.599617307836215,-1.9958276205375087,0.0817647164739413,0.0,0.0,0.0,1.0,0.00021492412380229092,0.0005273966686375713,0.0,0.0,0.0,0.0
8,1786799104,109929200,1786799104.109929,-11.600330967858554,-1.995360310015042,0.08084612007982835,0.0,0.0,0.0,1.0,-0.0028723184447848236,0.0011021791936799204,0.0,0.0,0.0,0.0
9,1786799104,143253324,1786799104.143253,-11.599605722769253,-1.9952359481001165,0.08307786762613634,0.0,0.0,0.0,1.0,0.00077876462084309,0.0008087250282798213,0.0,0.0,0.0,0.0
10,1786799104,843256240,1786799104.843256,-11.597650787933773,-1.9936739137097246,0.08373335284527264,0.0,0.0,0.0,1.0,0.0006549924185483716,0.0008918346021545717,0.0,0.0,0.0,0.0
11,1786799105,310038149,1786799105.310038,-11.596401896862597,-1.9946756228132703,0.08425788731834154,0.0,0.0,0.0,1.0,0.0033873391242888666,-0.0018496289483306348,0.0,0.0,0.0,0.0
12,1786799105,443341521,1786799105.443341,-11.596083100051729,-1.994180468720337,0.08114592434118942,0.0,0.0,0.0,1.0,0.0012342608948969322,0.0008805731039457879,0.0,0.0,0.0,0.0
13,1786799105,576654338,1786799105.576654,-11.595935187612607,-1.994149178488622,0.08287100064207224,0.0,0.0,0.0,1.0,-0.000274131644065736,0.00016952216964010586,0.0,0.0,0.0,0.0
14,1786799105,643290993,1786799105.643291,-11.595897591560302,-1.9940451421908185,0.08239424584488031,0.0,0.0,0.0,1.0,-0.0002517491202154069,0.000158437335732427,0.0,0.0,0.0,0.0
