idx,sec,nanosec,t,x,y,z,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz
0,1786799102,681141031,1786799102.681141,-11.599999920667067,-1.9999851387675216,0.08309774558817148,0.0,0.0,0.0,1.0,-8.27823482082177e-08,5.89316553315514e-08,0.0,0.0,0.0,0.0
1,1786799102,714449738,1786799102.714450,-11.599999919312069,-1.9999851374736688,0.08309506813383864,0.0,0.0,0.0,1.0,1.3865677213506204e-07,3.0228455912435214e-08,0.0,0.0,0.0,0.0
2,1786799102,745105933,1786799102.745106,-11.599999910839598,-1.9999851365878858,0.08309367252732283,0.0,0.0,0.0,1.0,3.4504103145229e-07,2.3373456310997924e-08,0.0,0.0,0.0,0.0
3,1786799102,780031645,1786799102.780032,-11.599999897691605,-1.999985135952126,0.08309364229923653,0.0,0.0,0.0,1.0,3.9607404045948103e-07,1.598052947980397e-08,0.0,0.0,0.0,0.0
4,1786799102,813809740,1786799102.813810,-11.599999884840193,-1.9999851355408667,0.08309493503281606,0.0,0.0,0.0,1.0,3.693413664249025e-07,9.33559706157651e-09,0.0,0.0,0.0,0.0
5,1786799102,848492283,1786799102.848492,-11.599999873066084,-1.9999851353441507,0.08309739285850234,0.0,0.0,0.0,1.0,3.3949179036888355e-07,3.235328059481874e-09,0.0,0.0,0.0,0.0
6,1786799102,880508822,1786799102.880509,-11.599999862391183,-1.9999851353225926,0.0831007468565406,0.0,0.0,0.0,1.0,3.049474650621762e-07,1.7665983558172672e-09,0.0,0.0,0.0,0.0
7,1786799102,913881457,1786799102.913882,-11.599999852818573,-1.999985134841999,0.0831046598149748,0.0,0.0,0.0,1.0,2.7382970401467484e-07,1.6282352765917025e-08,0.0,0.0,0.0,0.0
8,1786799102,948416895,1786799102.948417,-11.599999847594432,-1.9999851343880517,0.0831086726247163,0.0,0.0,0.0,1.0,4.455275944587624e-08,1.1558081656645842e-08,0.0,0.0,0.0,0.0
9,1786799102,979691717,1786799102.979692,-11.599999850447444,-1.999985133683483,0.08311230633195096,0.0,0.0,0.0,1.0,-1.8852485260615734e-07,4.017067604978284e-08,0.0,0.0,0.0,0.0
10,1786799103,13505093,1786799103.013505,-11.59999985955821,-1.9999851310942842,0.08311531463091412,0.0,0.0,0.0,1.0,-2.88531505132212e-07,9.99701976509463e-08,0.0,0.0,0.0,0.0
11,1786799103,48089441,1786799103.048090,-11.599999868848961,-1.9999851271208526,0.08311759121090516,0.0,0.0,0.0,1.0,-2.7319800250072023e-07,1.259824984370729e-07,0.0,0.0,0.0,0.0
12,1786799103,79710111,1786799103.079710,-11.59999987767887,-1.999985123041843,0.08311905071722894,0.0,0.0,0.0,1.0,-2.4990294158436947e-07,1.1756427513356354e-07,0.0,0.0,0.0,0.0
13,1786799103,113111863,1786799103.113112,-11.599999884865191,-1.9999851195144565,0.08311963745100837,0.0,0.0,0.0,1.0,-2.0866786526571504e-07,1.0415274897503093e-07,0.0,0.0,0.0,0.0
14,1786799103,147454504,1786799103.147455,-11.599999891912429,-1.9999851160399307,0.08311933944652182,0.0,0.0,0.0,1.0,-2.1365728212344016e-07,9.602442154838048e-08,0.0,0.0,0.0,0.0
15,1786799103,179255447,1786799103.179255,-11.599999899178627,-1.9999851135396358,0.08311834476217962,0.0,0.0,0.0,1.0,-2.3568017323065353e-07,5.814113733901966e-08,0.0,0.0,0.0,0.0
16,1786799103,212932163,1786799103.212932,-11.599999909159171,-1.9999851122531078,0.0831168787815724,0.0,0.0,0.0,1.0,-3.0025350151826764e-07,2.3386908773286824e-08,0.0,0.0,0.0,0.0
17,1786799103,247444580,1786799103.247445,-11.599999918249052,-1.999985112020512,0.08311504048271846,0.0,0.0,0.0,1.0,-2.503001398512068e-07,-5.487603053988046e-09,0.0,0.0,0.0,0.0
18,1786799103,279059466,1786799103.279059,-11.599999925849843,-1.999985111813886,0.08311289460846501,0.0,0.0,0.0,1.0,-2.1235624739176597e-07,3.3149282759793634e-08,0.0,0.0,0.0,0.0
19,1786799103,312798115,1786799103.312798,-11.599999932185614,-1.9999851095834325,0.08311053385642375,0.0,0.0,0.0,1.0,-1.7281225767175394e-07,9.374223572527241e-08,0.0,0.0,0.0,0.0
20,1786799103,347106232,1786799103.347106,-11.599999937267572,-1.9999851055238884,0.08310804473770604,0.0,0.0,0.0,1.0,-1.359486455047829e-07,1.3517138432511947e-07,0.0,0.0,0.0,0.0
21,1786799103,382284289,1786799103.382284,-11.599999941146287,-1.9999851013113628,0.0831056367661672,0.0,0.0,0.0,1.0,-1.0089978323355305e-07,1.1094014942538921e-07,0.0,0.0,0.0,0.0
22,1786799103,412774856,1786799103.412775,-11.59999994400033,-1.9999850982194873,0.08310361210674778,0.0,0.0,0.0,1.0,-7.691723283133022e-08,7.874870260317189e-08,0.0,0.0,0.0,0.0
23,1786799103,447273427,1786799103.447273,-11.59999994609031,-1.9999850960982648,0.0831021180689598,0.0,0.0,0.0,1.0,-5.035848139854493e-08,5.20721505303252e-08,0.0,0.0,0.0,0.0
24,1786799103,483090503,1786799103.483090,-11.59999994732778,-1.9999850947883893,0.08310124080503056,0.0,0.0,0.0,1.0,-2.728750683034157e-08,2.9363035660088925e-08,0.0,0.0,0.0,0.0
25,1786799103,512802936,1786799103.512803,-11.599999947844257,-1.9999850939686463,0.08310100540720765,0.0,0.0,0.0,1.0,-5.866476610353465e-09,3.11414004848991e-08,0.0,0.0,0.0,0.0
26,1786799103,547430006,1786799103.547430,-11.599999947649193,-1.9999850930472998,0.0831014409803346,0.0,0.0,0.0,1.0,1.5419080872045453e-08,2.9942849917336484e-08,0.0,0.0,0.0,0.0
27,1786799103,581973399,1786799103.581973,-11.5999999467484,-1.9999850915540156,0.08310253960653902,0.0,0.0,0.0,1.0,3.6163642046883105e-08,5.714472618036764e-08,0.0,0.0,0.0,0.0
