idx,sec,nanosec,t,x,y,z,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz
0,1786799103,543296418,1786799103.543296,-11.599993079158507,-2.0000178784711395,0.08203831539683584,0.0,0.0,0.0,1.0,3.36640340297881e-06,1.6363005696613136e-05,0.0,0.0,0.0,0.0
1,1786799103,843312719,1786799103.843313,-11.599906004536377,-1.9999823028542616,0.08103864134188399,0.0,0.0,0.0,1.0,-0.001613609240426809,0.001486908301595381,0.0,0.0,0.0,0.0
2,1786799104,109929200,1786799104.109929,-11.611164695149364,-2.0104844254049032,0.08084784946691068,0.0,0.0,0.0,1.0,-0.0030525675216410866,0.001181957644175668,0.0,0.0,0.0,0.0
3,1786799104,843256240,1786799104.843256,-11.606813634935907,-2.006520470675749,0.08449757566558033,0.0,0.0,0.0,1.0,0.002998537863045672,0.0019558158519217108,0.0,0.0,0.0,0.0
4,1786799105,310038149,1786799105.310038,-11.606552643870437,-2.0092601203059983,0.08607786278139883,0.0,0.0,0.0,1.0,0.003483504896416055,-0.0019095306356014343,0.0,0.0,0.0,0.0
5,1786799105,576654338,1786799105.576654,-11.60491566377679,-2.009897289178676,0.08415130097757756,0.0,0.0,0.0,1.0,8.897773601682481e-05,-0.00028438334086805604,0.0,0.0,0.0,0.0
6,1786799105,909981262,1786799105.909981,-11.601872532726782,-2.007638945963312,0.08272312024488175,0.0,0.0,0.0,1.0,-0.00047642931538340743,0.002804413002197848,0.0,0.0,0.0,0.0
7,1786799106,176684487,1786799106.176684,-11.601226193696293,-2.0070361601834144,0.08035574044311265,0.0,0.0,0.0,1.0,-0.0014931131146322856,0.004395724527309715,0.0,0.0,0.0,0.0
8,1786799106,643309070,1786799106.643309,-11.599889537147861,-2.0030731456463604,0.08139605653324461,0.0,0.0,0.0,1.0,-0.0011515368051694113,0.00378676709245816,0.0,0.0,0.0,0.0
9,1786799106,943348901,1786799106.943349,-11.598548746188326,-2.00409997411526,0.08250118331957405,0.0,0.0,0.0,1.0,-0.001377631374843866,-0.000821995801117607,0.0,0.0,0.0,0.0
10,1786799107,443349927,1786799107.443350,-11.595861045315015,-2.004596444548436,0.0849206688206101,0.0,0.0,0.0,1.0,-0.001402435969372959,-0.0055163718689415445,0.0,0.0,0.0,0.0
11,1786799107,943367278,1786799107.943367,-11.595707200972157,-2.005372974628488,0.08431817652046754,0.0,0.0,0.0,1.0,0.0008553333921123499,-0.0008756184711608984,0.0,0.0,0.0,0.0
12,1786799108,210078826,1786799108.210079,-11.593598866940402,-2.0046175090840563,0.08424246660797334,0.0,0.0,0.0,1.0,0.001088291800521226,0.0002404604285369035,0.0,0.0,0.0,0.0
13,1786799108,410102117,1786799108.410102,-11.58869540555069,-2.0033654858298746,0.08415093901140043,0.0,0.0,0.0,1.0,0.003176517118252216,-0.0009543733445328902,0.0,0.0,0.0,0.0
14,1786799108,843393253,1786799108.843393,-11.582938749022818,-2.003910757120384,0.08514873914552556,0.0,0.0,0.0,1.0,0.0018919017848649782,-0.0036700875366289833,0.0,0.0,0.0,0.0
15,1786799109,210005282,1786799109.210005,-11.575492237451613,-2.0027695464089117,0.08315808913440279,0.0,0.0,0.0,1.0,0.002513028094845773,-0.005039688649597468,0.0,0.0,0.0,0.0
16,1786799109,476781814,1786799109.476782,-11.575512934021571,-2.0031295799981925,0.08182367613098532,0.0,0.0,0.0,1.0,0.0015644485614009214,-0.0017138497919248594,0.0,0.0,0.0,0.0
17,1786799109,843410399,1786799109.843410,-11.574420415522997,-2.0050196326448155,0.07998748931830418,0.0,0.0,0.0,1.0,0.00460384663245737,-0.0008297751885285106,0.0,0.0,0.0,0.0
18,1786799110,243584723,1786799110.243585,-11.573073641519963,-2.004798330428645,0.08133696371182725,0.0,0.0,0.0,1.0,0.005854115084448935,-0.003678928861420098,0.0,0.0,0.0,0.0
19,1786799110,510099683,1786799110.510100,-11.572344351948026,-2.0042504914936115,0.08245881647864661,0.0,0.0,0.0,1.0,0.002250576282917096,-0.0033908635239545647,0.0,0.0,0.0,0.0
20,1786799110,976824166,1786799110.976824,-11.573634098348473,-2.0052500251154055,0.08191905117537762,0.0,0.0,0.0,1.0,-0.0007575553215049468,-0.002145376736500705,0.0,0.0,0.0,0.0
21,1786799111,243434597,1786799111.243435,-11.571798403205875,-2.0045392645865787,0.08386669670860698,0.0,0.0,0.0,1.0,-0.004115102705434236,-0.00041948632735342144,0.0,0.0,0.0,0.0
22,1786799111,876791250,1786799111.876791,-11.571798403205875,-2.0045392645865787,0.08386669670860698,0.0,0.0,0.0,1.0,-0.004115102705434236,-0.00041948632735342144,0.0,0.0,0.0,0.0
23,1786799112,343436299,1786799112.343436,-11.571108672472516,-2.0043936009436205,0.0849864752928973,0.0,0.0,0.0,1.0,-0.003260027251881609,-0.0003589896460445903,0.0,0.0,0.0,0.0
24,1786799112,543552256,1786799112.543552,-11.571423329317053,-2.002201995408137,0.08288653451660777,0.0,0.0,0.0,1.0,-0.0019238495977179416,0.0018602095152857932,0.0,0.0,0.0,0.0
25,1786799112,876752952,1786799112.876753,-11.568889604028852,-2.0025175767919,0.08288288689634259,0.0,0.0,0.0,1.0,-0.0022822023485621957,0.0012066671571243723,0.0,0.0,0.0,0.0
26,1786799113,76783744,1786799113.076784,-11.562774695635362,-2.0014683697974505,0.08224714975802952,0.0,0.0,0.0,1.0,-0.001453902315800655,-0.0016624373841391026,0.0,0.0,0.0,0.0
27,1786799113,276831951,1786799113.276832,-11.563223962216137,-2.002666876528256,0.08177682265945836,0.0,0.0,0.0,1.0,-0.0012185808570919542,-0.0027238011538044775,0.0,0.0,0.0,0.0
28,1786799113,676802988,1786799113.676803,-11.560469453071772,-2.0046979311670747,0.08227430436381827,0.0,0.0,0.0,1.0,0.0011080433733507604,-0.001652461593300052,0.0,0.0,0.0,0.0
29,1786799113,876818955,1786799113.876819,-11.559601964557533,-2.0046100612252173,0.08287568758534307,0.0,0.0,0.0,1.0,-0.00110922472370803,-0.0006017497013099673,0.0,0.0,0.0,0.0
30,1786799114,210166927,1786799114.210167,-11.555659645752032,-2.005409912649686,0.08312722713823438,0.0,0.0,0.0,1.0,-0.000623837621966585,-0.0014233606850910505,0.0,0.0,0.0,0.0
